[0][20][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][20][Babcia] Otrzymałam FULL od [2] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][20][Babcia] Otrzymałam FULL od [1] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][20][Studentka] Zabieram konfiturę [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[1][21][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[0][21][Babcia] Otrzymałam REQ od [1] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][21][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][21][Studentka] Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej) [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][21][Studentka] Zjadam konfiturę [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][21][Studentka] Wysłałam EMPTY, oddałam słoik [sloiki: 2, konfitury: 0, has_jar: 1, has_jam: 0, ACK: 0/0]
[1][22][Babcia] Otrzymałam REQ od [0] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][22][Babcia] Otrzymałam REQ od [1] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][22][Studentka] Wysyłam prośbę o konfiturę [sloiki: 2, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[0][23][Babcia] Otrzymałam ACK od [1] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 1/2]
[1][23][Babcia] Otrzymałam ACK od [0] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 1/2]
[1][24][Babcia] Otrzymałam REQ od [2] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 1/2]
[0][24][Babcia] Otrzymałam REQ od [2] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 1/2]
[1][25][Babcia] Otrzymałam ACK od [2] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[2][25][Babcia] Otrzymałam ACK od [1] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 1/2]
[0][25][Babcia] Otrzymałam ACK od [2] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][25][Babcia] Wchodzę do sekcji krytycznej [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[2][26][Babcia] Otrzymałam ACK od [0] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][26][Babcia] Zabieram słoik [sloiki: 0, konfitury: 2, has_jar: 1, has_jam: 0, ACK: 2/2]
[0][27][Babcia] Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej) [sloiki: 0, konfitury: 2, has_jar: 1, has_jam: 0, ACK: 2/2]
[0][27][Babcia] Rozpoczynam produkcję konfitury [sloiki: 0, konfitury: 2, has_jar: 1, has_jam: 0, ACK: 2/2]
[0][27][Babcia] Wysłałam FULL, mam konfiturę [sloiki: 0, konfitury: 3, has_jar: 0, has_jam: 1, ACK: 2/2]
[2][28][Babcia] Otrzymałam REL od [0] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[1][28][Babcia] Otrzymałam REL od [0] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][28][Babcia] Wysyłam prośbę o słoik [sloiki: 0, konfitury: 3, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][28][Studentka] Otrzymałam REL od [0] [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[2][29][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 2/2]
[1][29][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][29][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][29][Studentka] Otrzymałam FULL od [1] [sloiki: 1, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
[3][29][Studentka] Wchodzę do sekcji krytycznej [sloiki: 1, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
[2][30][Babcia] Otrzymałam FULL od [0] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[1][30][Babcia] Otrzymałam FULL od [0] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][30][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][30][Studentka] Zabieram konfiturę [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[2][31][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[1][31][Babcia] Otrzymałam EMPTY od [3] [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[1][31][Babcia] Wchodzę do sekcji krytycznej [sloiki: 1, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 2/2]
[3][31][Studentka] Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej) [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][31][Studentka] Zjadam konfiturę [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][31][Studentka] Wysłałam EMPTY, oddałam słoik [sloiki: 2, konfitury: 0, has_jar: 1, has_jam: 0, ACK: 0/0]
[1][32][Babcia] Zabieram słoik [sloiki: 0, konfitury: 2, has_jar: 1, has_jam: 0, ACK: 2/2]
[3][32][Studentka] Wysyłam prośbę o konfiturę [sloiki: 2, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[1][33][Babcia] Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej) [sloiki: 0, konfitury: 2, has_jar: 1, has_jam: 0, ACK: 2/2]
